# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2427
#@/user_id	MBP-C1-2017
jin qu 	進去	c=1 d=1 t=1718
jin tian 	今天	c=8 d=1.17818 t=2427
jin xian yu 	僅限於	c=0 d=0.0190139 t=2427
jin yong 	禁用	c=2 d=1.07701 t=2427
jin zhang 	緊張	c=1 d=1.09465 t=837
jing chang 	經常	c=1 d=1 t=1196
jing li 	精力	c=1 d=1 t=1204
jing shen ling xiu 	精神領袖	c=1 d=0.0380064 t=2427
jing xuan 	精選	c=1 d=1 t=1905
jiu 	就	c=24 d=2.39775 t=2427
jiu kan 	就看	c=1 d=0.214381 t=2427
jiu shi 	就是	c=11 d=1.09451 t=2427
jiu suan 	就算	c=1 d=0.285076 t=2427
ju ran 	居然	c=2 d=1.15803 t=2417
ju shuo 	據說	c=1 d=1 t=2166
jue de 	覺得	c=1 d=0.650509 t=2427
kai 	開	c=1 d=1 t=914
kai chu 	開除	c=1 d=0.342926 t=2390
kai fa 	開發	c=1 d=1 t=1195
kai shi 	開始	c=2 d=1.58275 t=1656
kan 	看	c=7 d=0.968064 t=2427
kan bu dao 	看不到	c=1 d=0.0645703 t=2427
kan dao 	看到	c=2 d=0.873413 t=2427
kan dao 	砍倒	c=1 d=0.162838 t=2427
kan guo 	看過	c=1 d=0.163654 t=2427
kan kan 	看看	c=7 d=0.647635 t=2427
kan lai 	看來	c=5 d=1.47666 t=2212
kan le 	看了	c=1 d=1 t=801
kan ni 	看膩	c=1 d=0.621885 t=2427
kan shang qu 	看上去	c=3 d=0.215838 t=2427
kan shi ji 	看時機	c=1 d=1 t=1717
kan xin wen 	看新聞	c=1 d=0.0488012 t=2427
kan zhe 	看着	c=1 d=1 t=1332
kao 	考	c=1 d=1 t=1549
kao 	靠	c=1 d=1 t=2206
kao lv 	考慮	c=0 d=0.0794534 t=2427
kao lv liu ji 	考慮六級	c=1 d=0.798516 t=2427
kao ya 	烤鴨	c=2 d=0.559937 t=2427
kao yan 	考研	c=1 d=0.0685632 t=2427
ke 	可	c=1 d=1 t=2226
ke dou 	蝌蚪	c=1 d=1 t=988
ke neng 	可能	c=12 d=0.60369 t=2427
ke yi 	可以	c=26 d=3.5535 t=2427
ken ding 	肯定	c=1 d=1 t=1202
kong 	空	c=1 d=0.171187 t=2427
kong de 	空的	c=1 d=1 t=1787
kong xi 	空襲	c=1 d=0.0374406 t=2427
kong zhi 	控制	c=1 d=1 t=1303
ku 	庫	c=1 d=1 t=943
kuai 	快	c=3 d=0.186093 t=2209
kuai chuan 	快船	c=1 d=0.0393602 t=2427
kuai jie jian 	快捷鍵	c=1 d=0.99005 t=2427
la 	啦	c=15 d=0.981212 t=2427
lai 	來	c=9 d=1.30649 t=2427
lai de 	來的	c=1 d=1 t=2377
lai la 	來啦	c=1 d=0.166127 t=2427
lai le 	來了	c=1 d=0.263158 t=2427
lai yi bian 	來一遍	c=1 d=1 t=2325
lang fei shi jian 	浪費時間	c=1 d=1 t=2411
lao po 	老婆	c=2 d=1.94649 t=1153
lao shu 	老鼠	c=0 d=0.1 t=1693
