# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	4960
#@/user_id	MBP-2019
a 	啊	c=67 d=7.11815 t=4960
ge 	哥	c=1 d=1 t=3945
ge da 	各大	c=1 d=0.207008 t=4960
ge li 	隔離	c=1 d=0.000754089 t=4960
ge men 	哥們	c=1 d=0.000636198 t=4960
ge qu 	歌曲	c=1 d=0.060205 t=4960
ge ren 	個人	c=3 d=0.825024 t=4960
ge shou 	歌手	c=1 d=0.332871 t=4960
ge wu 	格物	c=0 d=0.1 t=3485
ge wu tang 	格物堂	c=2 d=1.6005 t=3588
ge xiao shi le 	個消失了	c=1 d=1 t=4722
ge zhong 	各種	c=0 d=0.000263203 t=4960
ge zhong zuo e 	各種作惡	c=1 d=0.00264522 t=4960
gei 	給	c=10 d=1.49464 t=4960
gei cuo 	給錯	c=1 d=1 t=4443
gei le 	給了	c=1 d=1 t=3772
gen 	跟	c=9 d=1.38714 t=4960
gen ni 	跟你	c=1 d=0.00142298 t=4960
gen pai 	跟牌	c=1 d=1 t=4246
gen wo 	跟我	c=1 d=1 t=4540
gen zhe 	跟着	c=2 d=1.00096 t=4307
geng 	更	c=3 d=0.105399 t=4960
geng can 	更慘	c=1 d=0.00640933 t=4960
geng duo 	更多	c=1 d=0.182684 t=4960
geng duo yi xie 	更多一些	c=1 d=1 t=2593
geng hao xie 	更好寫	c=1 d=1 t=4617
geng jin 	更緊	c=1 d=0.18452 t=4960
geng shi 	更是	c=1 d=0.102284 t=4960
geng xin 	更新	c=5 d=0.84887 t=4960
gong gong chang suo 	公共場所	c=1 d=1 t=4590
gong ka 	工卡	c=2 d=0.74148 t=4960
gong shi 	公式	c=2 d=0.084163 t=4960
gong si 	公司	c=6 d=1.66075 t=4960
gong zuo 	工作	c=2 d=1.87372 t=4632
gou 	夠	c=1 d=0.995012 t=4960
gou gu ding li 	勾股定理	c=1 d=1 t=4467
